Entry	Entry name	Status	Protein names	Gene names	Organism	Length
O95264	5HT3B_HUMAN	reviewed	5-hydroxytryptamine receptor 3B (5-HT3-B) (5-HT3B) (Serotonin receptor 3B)	HTR3B	Homo sapiens (Human)	441
Q8WXA8	5HT3C_HUMAN	reviewed	5-hydroxytryptamine receptor 3C (5-HT3-C) (5-HT3C) (Serotonin receptor 3C)	HTR3C	Homo sapiens (Human)	447
Q70Z44	5HT3D_HUMAN	reviewed	5-hydroxytryptamine receptor 3D (5-HT3-D) (5-HT3D) (Serotonin receptor 3D)	HTR3D	Homo sapiens (Human)	454
A5X5Y0	5HT3E_HUMAN	reviewed	5-hydroxytryptamine receptor 3E (5-HT3-E) (5-HT3E) (Serotonin receptor 3E)	HTR3E	Homo sapiens (Human)	456
Q13639	5HT4R_HUMAN	reviewed	5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4)	HTR4	Homo sapiens (Human)	388
P47898	5HT5A_HUMAN	reviewed	5-hydroxytryptamine receptor 5A (5-HT-5) (5-HT-5A) (5-HT5A) (Serotonin receptor 5A)	HTR5A	Homo sapiens (Human)	357
P50406	5HT6R_HUMAN	reviewed	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	HTR6	Homo sapiens (Human)	440
P34969	5HT7R_HUMAN	reviewed	5-hydroxytryptamine receptor 7 (5-HT-7) (5-HT7) (5-HT-X) (Serotonin receptor 7)	HTR7	Homo sapiens (Human)	479
P08913	ADA2A_HUMAN	reviewed	Alpha-2A adrenergic receptor (Alpha-2 adrenergic receptor subtype C10) (Alpha-2A adrenoreceptor) (Alpha-2A adrenoceptor) (Alpha-2AAR)	ADRA2A ADRA2R ADRAR	Homo sapiens (Human)	450
P18089	ADA2B_HUMAN	reviewed	Alpha-2B adrenergic receptor (Alpha-2 adrenergic receptor subtype C2) (Alpha-2B adrenoreceptor) (Alpha-2B adrenoceptor) (Alpha-2BAR)	ADRA2B ADRA2L1 ADRA2RL1	Homo sapiens (Human)	450
P42330	AK1C3_HUMAN	reviewed	Aldo-keto reductase family 1 member C3 (EC 1.-.-.-) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.213) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Indanol dehydrogenase) (EC 1.1.1.112) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.63) (EC 1.1.1.64) (Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase) (EC 1.3.1.20)	AKR1C3 DDH1 HSD17B5 KIAA0119 PGFS	Homo sapiens (Human)	323
P21397	AOFA_HUMAN	reviewed	Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	MAOA	Homo sapiens (Human)	527
P27338	AOFB_HUMAN	reviewed	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	MAOB	Homo sapiens (Human)	520
P46597	ASMT_HUMAN	reviewed	Acetylserotonin O-methyltransferase (EC 2.1.1.4) (Hydroxyindole O-methyltransferase) (HIOMT)	ASMT	Homo sapiens (Human)	345
Q01814	AT2B2_HUMAN	reviewed	Plasma membrane calcium-transporting ATPase 2 (PMCA2) (EC 3.6.3.8) (Plasma membrane calcium ATPase isoform 2) (Plasma membrane calcium pump isoform 2)	ATP2B2 PMCA2	Homo sapiens (Human)	1243
Q04656	ATP7A_HUMAN	reviewed	Copper-transporting ATPase 1 (EC 3.6.3.4) (Copper pump 1) (Menkes disease-associated protein)	ATP7A MC1 MNK	Homo sapiens (Human)	1500
Q5T0F9	C2D1B_HUMAN	reviewed	Coiled-coil and C2 domain-containing protein 1B (Five prime repressor element under dual repression-binding protein 2) (FRE under dual repression-binding protein 2) (Freud-2)	CC2D1B KIAA1836	Homo sapiens (Human)	858
P20711	DDC_HUMAN	reviewed	Aromatic-L-amino-acid decarboxylase (AADC) (EC 4.1.1.28) (DOPA decarboxylase) (DDC)	DDC AADC	Homo sapiens (Human)	480
P09417	DHPR_HUMAN	reviewed	Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase)	QDPR DHPR	Homo sapiens (Human)	244
P12319	FCERA_HUMAN	reviewed	High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha)	FCER1A FCE1A	Homo sapiens (Human)	257
P30273	FCERG_HUMAN	reviewed	High affinity immunoglobulin epsilon receptor subunit gamma (Fc receptor gamma-chain) (FcRgamma) (Fc-epsilon RI-gamma) (IgE Fc receptor subunit gamma) (FceRI gamma)	FCER1G	Homo sapiens (Human)	86
Q99581	FEV_HUMAN	reviewed	Protein FEV (Fifth Ewing variant protein) (PC12 ETS domain-containing transcription factor 1) (PC12 ETS factor 1) (Pet-1)	FEV PET1	Homo sapiens (Human)	238
P30793	GCH1_HUMAN	reviewed	GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)	GCH1 DYT5 GCH	Homo sapiens (Human)	250
Q13491	GPM6B_HUMAN	reviewed	Neuronal membrane glycoprotein M6-b (M6b)	GPM6B M6B	Homo sapiens (Human)	265
P34947	GRK5_HUMAN	reviewed	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	GRK5 GPRK5	Homo sapiens (Human)	590
P43405	KSYK_HUMAN	reviewed	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635
Q8NHL6	LIRB1_HUMAN	reviewed	Leukocyte immunoglobulin-like receptor subfamily B member 1 (LIR-1) (Leukocyte immunoglobulin-like receptor 1) (CD85 antigen-like family member J) (Immunoglobulin-like transcript 2) (ILT-2) (Monocyte/macrophage immunoglobulin-like receptor 7) (MIR-7) (CD antigen CD85j)	LILRB1 ILT2 LIR1 MIR7	Homo sapiens (Human)	650
P56270	MAZ_HUMAN	reviewed	Myc-associated zinc finger protein (MAZI) (Pur-1) (Purine-binding transcription factor) (Transcription factor Zif87) (ZF87) (Zinc finger protein 801)	MAZ ZNF801	Homo sapiens (Human)	477
O75970	MPDZ_HUMAN	reviewed	Multiple PDZ domain protein (Multi-PDZ domain protein 1)	MPDZ MUPP1	Homo sapiens (Human)	2070
Q12879	NMDE1_HUMAN	reviewed	Glutamate [NMDA] receptor subunit epsilon-1 (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A) (hNR2A)	GRIN2A NMDAR2A	Homo sapiens (Human)	1464
P51575	P2RX1_HUMAN	reviewed	P2X purinoceptor 1 (P2X1) (ATP receptor) (Purinergic receptor)	P2RX1 P2X1	Homo sapiens (Human)	399
Q01064	PDE1B_HUMAN	reviewed	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (Cam-PDE 1B) (EC 3.1.4.17) (63 kDa Cam-PDE)	PDE1B PDE1B1 PDES1B	Homo sapiens (Human)	536
Q03393	PTPS_HUMAN	reviewed	6-pyruvoyl tetrahydrobiopterin synthase (PTP synthase) (PTPS) (EC 4.2.3.12)	PTS	Homo sapiens (Human)	145
Q9NS39	RED2_HUMAN	reviewed	Double-stranded RNA-specific editase B2 (EC 3.5.-.-) (RNA-dependent adenosine deaminase 3) (RNA-editing deaminase 2) (RNA-editing enzyme 2) (dsRNA adenosine deaminase B2)	ADARB2 ADAR3 RED2	Homo sapiens (Human)	739
Q7Z5B4	RIC3_HUMAN	reviewed	Protein RIC-3	RIC3 UNQ720/PRO1385	Homo sapiens (Human)	369
O15245	S22A1_HUMAN	reviewed	Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1)	SLC22A1 OCT1	Homo sapiens (Human)	554
O15244	S22A2_HUMAN	reviewed	Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2)	SLC22A2 OCT2	Homo sapiens (Human)	555
Q7RTT9	S29A4_HUMAN	reviewed	Equilibrative nucleoside transporter 4 (hENT4) (Plasma membrane monoamine transporter) (Solute carrier family 29 member 4)	SLC29A4 ENT4 PMAT PSEC0113	Homo sapiens (Human)	530
P18405	S5A1_HUMAN	reviewed	3-oxo-5-alpha-steroid 4-dehydrogenase 1 (EC 1.3.1.30) (SR type 1) (Steroid 5-alpha-reductase 1) (S5AR 1)	SRD5A1	Homo sapiens (Human)	259
P31645	SC6A4_HUMAN	reviewed	Sodium-dependent serotonin transporter (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	SLC6A4 HTT SERT	Homo sapiens (Human)	630
O15127	SCAM2_HUMAN	reviewed	Secretory carrier-associated membrane protein 2 (Secretory carrier membrane protein 2)	SCAMP2	Homo sapiens (Human)	329
Q16613	SNAT_HUMAN	reviewed	Serotonin N-acetyltransferase (Serotonin acetylase) (EC 2.3.1.87) (Aralkylamine N-acetyltransferase) (AA-NAT)	AANAT SNAT	Homo sapiens (Human)	207
P08047	SP1_HUMAN	reviewed	Transcription factor Sp1	SP1 TSFP1	Homo sapiens (Human)	785
P35270	SPRE_HUMAN	reviewed	Sepiapterin reductase (SPR) (EC 1.1.1.153)	SPR	Homo sapiens (Human)	261
P50224	ST1A3_HUMAN	reviewed	Sulfotransferase 1A3/1A4 (ST1A3/ST1A4) (EC 2.8.2.1) (Aryl sulfotransferase 1A3/1A4) (Catecholamine-sulfating phenol sulfotransferase) (HAST3) (M-PST) (Monoamine-sulfating phenol sulfotransferase) (Placental estrogen sulfotransferase) (Sulfotransferase, monoamine-preferring) (Thermolabile phenol sulfotransferase) (TL-PST)	SULT1A3 STM; SULT1A4	Homo sapiens (Human)	295
P37840	SYUA_HUMAN	reviewed	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	SNCA NACP PARK1	Homo sapiens (Human)	140
P48775	T23O_HUMAN	reviewed	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	TDO2 TDO	Homo sapiens (Human)	406
O43294	TGFI1_HUMAN	reviewed	Transforming growth factor beta-1-induced transcript 1 protein (Androgen receptor coactivator 55 kDa protein) (Androgen receptor-associated protein of 55 kDa) (Hydrogen peroxide-inducible clone 5 protein) (Hic-5)	TGFB1I1 ARA55	Homo sapiens (Human)	461
P17752	TPH1_HUMAN	reviewed	Tryptophan 5-hydroxylase 1 (EC 1.14.16.4) (Tryptophan 5-monooxygenase 1)	TPH1 TPH TPRH TRPH	Homo sapiens (Human)	444
Q8IWU9	TPH2_HUMAN	reviewed	Tryptophan 5-hydroxylase 2 (EC 1.14.16.4) (Neuronal tryptophan hydroxylase) (Tryptophan 5-monooxygenase 2)	TPH2 NTPH	Homo sapiens (Human)	490
P08670	VIME_HUMAN	reviewed	Vimentin	VIM	Homo sapiens (Human)	466
P54219	VMAT1_HUMAN	reviewed	Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1)	SLC18A1 VAT1 VMAT1	Homo sapiens (Human)	525
Q05940	VMAT2_HUMAN	reviewed	Synaptic vesicular amine transporter (Monoamine transporter) (Solute carrier family 18 member 2) (Vesicular amine transporter 2) (VAT2)	SLC18A2 SVMT VMAT2	Homo sapiens (Human)	514
P17861	XBP1_HUMAN	reviewed	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5)	XBP1 TREB5 XBP2	Homo sapiens (Human)	261
O95409	ZIC2_HUMAN	reviewed	Zinc finger protein ZIC 2 (Zinc finger protein of the cerebellum 2)	ZIC2	Homo sapiens (Human)	532
