CODE	NAME	PROT_NAME	GENE_NAME	LENGTH	CHEMBL	DESC
P21397	AOFA_HUMAN	Amine oxidase [flavin-containing] A (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)	MAOA	527	CHEMBL1951	Amine oxidase [flavin-containing] A
P27338	AOFB_HUMAN	Amine oxidase [flavin-containing] B (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)	MAOB	520	CHEMBL2039	Amine oxidase [flavin-containing] B
P20711	DDC_HUMAN	Aromatic-L-amino-acid decarboxylase (AADC) (EC 4.1.1.28) (DOPA decarboxylase) (DDC)	DDC AADC	480	CHEMBL1843	Aromatic-L-amino-acid decarboxylase
P09417	DHPR_HUMAN	Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase)	QDPR DHPR	244	CHEMBL3730	Dihydropteridine reductase
P12319	FCERA_HUMAN	High affinity immunoglobulin epsilon receptor subunit alpha (Fc-epsilon RI-alpha) (FcERI) (IgE Fc receptor subunit alpha)	FCER1A FCE1A	257	CHEMBL2248	High affinity immunoglobulin epsilon receptor subunit alpha
P34947	GRK5_HUMAN	G protein-coupled receptor kinase 5 (EC 2.7.11.16) (G protein-coupled receptor kinase GRK5)	GRK5 GPRK5	590	CHEMBL5678	G protein-coupled receptor kinase 5
P43405	KSYK_HUMAN	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	635	CHEMBL2599	Tyrosine-protein kinase SYK
Q12879	NMDE1_HUMAN	Glutamate [NMDA] receptor subunit epsilon-1 (N-methyl D-aspartate receptor subtype 2A) (NMDAR2A) (NR2A) (hNR2A)	GRIN2A NMDAR2A	1464	CHEMBL1972	Glutamate [NMDA] receptor subunit epsilon-1
P51575	P2RX1_HUMAN	P2X purinoceptor 1 (P2X1) (ATP receptor) (Purinergic receptor)	P2RX1 P2X1	399	CHEMBL2094	P2X purinoceptor 1
Q01064	PDE1B_HUMAN	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (Cam-PDE 1B) (EC 3.1.4.17) (63 kDa Cam-PDE)	PDE1B PDE1B1 PDES1B	536	CHEMBL4425	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B
O15245	S22A1_HUMAN	Solute carrier family 22 member 1 (Organic cation transporter 1) (hOCT1)	SLC22A1 OCT1	554	CHEMBL5685	Solute carrier family 22 member 1
O15244	S22A2_HUMAN	Solute carrier family 22 member 2 (Organic cation transporter 2) (hOCT2)	SLC22A2 OCT2	555	CHEMBL1743122	Solute carrier family 22 member 2
P18405	S5A1_HUMAN	3-oxo-5-alpha-steroid 4-dehydrogenase 1 (EC 1.3.1.30) (SR type 1) (Steroid 5-alpha-reductase 1) (S5AR 1)	SRD5A1	259	CHEMBL1787	3-oxo-5-alpha-steroid 4-dehydrogenase 1
P31645	SC6A4_HUMAN	Sodium-dependent serotonin transporter (5HT transporter) (5HTT) (Solute carrier family 6 member 4)	SLC6A4 HTT SERT	630	CHEMBL228	Sodium-dependent serotonin transporter
P08047	SP1_HUMAN	Transcription factor Sp1	SP1 TSFP1	785	CHEMBL6103	Transcription factor Sp1
P50224	ST1A3_HUMAN	Sulfotransferase 1A3/1A4 (ST1A3/ST1A4) (EC 2.8.2.1) (Aryl sulfotransferase 1A3/1A4) (Catecholamine-sulfating phenol sulfotransferase) (HAST3) (M-PST) (Monoamine-sulfating phenol sulfotransferase) (Placental estrogen sulfotransferase) (Sulfotransferase, monoamine-preferring) (Thermolabile phenol sulfotransferase) (TL-PST)	SULT1A3 STM; SULT1A4	295	CHEMBL1743293	Sulfotransferase 1A3/1A4
P37840	SYUA_HUMAN	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	SNCA NACP PARK1	140	CHEMBL6152	Alpha-synuclein
P48775	T23O_HUMAN	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	TDO2 TDO	406	CHEMBL2140	Tryptophan 2,3-dioxygenase
P17752	TPH1_HUMAN	Tryptophan 5-hydroxylase 1 (EC 1.14.16.4) (Tryptophan 5-monooxygenase 1)	TPH1 TPH TPRH TRPH	444	CHEMBL5689	Tryptophan 5-hydroxylase 1
Q8IWU9	TPH2_HUMAN	Tryptophan 5-hydroxylase 2 (EC 1.14.16.4) (Neuronal tryptophan hydroxylase) (Tryptophan 5-monooxygenase 2)	TPH2 NTPH	490	CHEMBL5433	Tryptophan 5-hydroxylase 2
P54219	VMAT1_HUMAN	Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1)	SLC18A1 VAT1 VMAT1	525	CHEMBL1838	Chromaffin granule amine transporter
Q05940	VMAT2_HUMAN	Synaptic vesicular amine transporter (Monoamine transporter) (Solute carrier family 18 member 2) (Vesicular amine transporter 2) (VAT2)	SLC18A2 SVMT VMAT2	514	CHEMBL1893	Synaptic vesicular amine transporter
P17861	XBP1_HUMAN	X-box-binding protein 1 (XBP-1) (Tax-responsive element-binding protein 5)	XBP1 TREB5 XBP2	261	CHEMBL1741176	X-box-binding protein 1
